Nombre en el dashboard de Visualización;Nombre en el esquema REPORTING;Tabla en esquema reporting;ID asociado(Primary Key-Formato1)-vinculo que relaciona la variable;Nombre de esta variable en el esquema STAGE;Tabla en esquema Stage;Tipo de Variable y Descripción Técnica;Panel(es) de Uso(nombre o título del panel en el dashboard);Tipo de Visual(tipo de grafico, card o elemento que se usará en el dashboard);Observacion en reporting(algun comentario importante a tomar en cuenta);Ident Dashboard Element(número del elemento o grafico dentro de cada panel del dashboard;Frecuencia(si es una varoable estática o de otro tipo(instantánea, diaria, horaria, etc);Lógica de agregación(para BI);Comportamiento de filtro(para BI)
Logo Hydrog;n/a;N/A;N/A;N/A;N/A;Imagen logo del cliente Hydrog;transversal/Production;Imagen;;32;Estática;N/A;No aplica filtro. Elemento gráfico fijo.
"""Production""";n/a;N/A;-;-;-;Nombre de titulo central en el panel 1 de operaciones para identificar claramente qué panel estamos visualizando;transversal/Production;Titulo;;34;Estática;N/A;No aplica filtro. Elemento gráfico fijo.
"""Hydralift T4 Surface Operations""";n/a;N/A;-;-;-;Nombre de titulo central en el panel 1 de operaciones para identificar claramente qué panel estamos visualizando;transversal/Hydralift T4 Surface Operations;Titulo;;33;Estática;N/A;No aplica filtro. Elemento gráfico fijo.
"""Business KPIs""";n/a;N/A;-;-;-;Nombre de titulo central en el panel 3 de operaciones para identificar claramente qué panel estamos visualizando;Business KPIs;Titulo;;35;Estática;N/A;No aplica filtro. Elemento gráfico fijo.
Date;fecha_id;reporting.DIM_TIEMPO;6;fecha_registro;stage.tbl_pozo_maestra;Clave de Dimensión de Tiempo.;Transversal;Selector/Filtro;"Para filtros “Día”: el Dashboard usa FACT_OPERACIONES_HORARIAS o dataset_current_values.
Para filtros “Mes/Año”: el Dashboard usa FACT_OPERACIONES_DIARIAS con la lógica de agregación definida";36;Estática;N/A;"Día → se usa para unir con FACT_OPERACIONES_HORARIAS o dataset_current_values.
Mes/Año → se usa Fecha_ID agrupada por Mes/Año sobre FACT_OPERACIONES_DIARIAS."
Customer;cliente;reporting.dim_pozo;12;Cliente;stage.tbl_pozo_maestra;Dimensión de negocio / Jerarquía. Customer(cliente) . Cliente. Schema: stage.tbl_pozo_maestra;Transversal;Texto / Filtro;;37;Estática;LAST;Filtro global de jerarquía: afecta a todas las métricas filtrando por pozo asociado a ese cliente.
Region;region;reporting.dim_pozo;14;region;stage.tbl_pozo_maestra;Region;Transversal;Texto / Filtro;;38;Estática;LAST;filtro de jerarquía, no métrica.
Field;campo;reporting.dim_pozo;15;campo;stage.tbl_pozo_maestra;Field;Transversal;Texto / Filtro;;39;Estática;LAST;
Well;nombre_pozo;reporting.dim_pozo;49;nombre_pozo;stage.tbl_pozo_maestra;Well;Transversal;etiqueta visual y filtro base.;;40;Estática;N/A;etiqueta visual y filtro base.
Shift Type;shift_type;reporting.DIM_HORA;;;;Atributo de dimensión hora (AM / PM-afternoon / PM-night);Transversal;Texto / Filtro;;41;Estática;N/A;Se usa como filtro categórico adicional sobre las métricas (cuando el BI lo requiera).
