ID_FORMATO_1;ID_INCREMENTAL;Nombre columna  de variable original;Origen;Observación;Unidad;Tipo dato;Reglas de Calidad: Representatividad;Reglas de Calidad: Latencia;Reglas de Calidad: Tolerancia;Reglas de Calidad: Consistencia
23;1;Formation Thickness;Cliente;v2;ft;Fijo;>0;< 2 s;;
S/I;2;Damage Factor ;Cliente;v2;Dimensionless;Semi-Fijo;>0;< 2 s;;
30;3;Formation Volume Factor;Cliente;v2;By/BN;Semi-Fijo;>0;< 2 s;;
75;4;API Maximum Fluid Load;Cliente, SCADA;;Lb;Semi-Fijo;>0;< 2 s;;
63;5;Water specific gravity;Cliente;;Dimensionless;Fijo;>0;< 2 s;;
17;6;Absolute Permeability;Cliente;v2;mD (milidarcys);Semi-Fijo;>0;< 2 s;;
162;7;Vertical Permeability;Cliente;v2;mD (milidarcys);Semi-Fijo;>0;< 2 s;;
28;8;Horizontal Permeability;Cliente;v2;mD (milidarcys);Semi-Fijo;>0;< 2 s;;
57;9;Water cut;Cliente, SCADA;;%;Variable;0-100%;< 2 s;;
24;10;Bubble Point Pressure;Cliente;;psi;Fijo;>0;< 2 s;;
54;11;Well head pressure (WHP);Cliente, SCADA;;psi;Variable;>0;< 2 s;;RC-003
151;12;Flowing Bottom Hole Pressure (FBHP);Cliente, SCADA;;psi;Variable;>0;< 2 s;;RC-003, RC-004
27;13;Critical Flowing Bottom Hole Pressure;Cliente;;psi;Semi-Fijo;>0;< 2 s;;
55;14;Casing head pressure (CHP);Cliente, SCADA;;psi;Semi-Fijo;>0;< 2 s;;
25;15;Reservoir Static Pressure;Cliente;;psi;Semi-Fijo;>0;< 2 s;; RC-004
108;16;Production (BOPD);Cliente, SCADA;;barrels/day;Variable;>0;< 2 s;;
39;17;Pump True Vertical Depth;Cliente;;ft;Fijo;>0;< 2 s;;RC-005
38;18;Vertical Depth of Reservoir;Cliente;;ft;Fijo;>0;< 2 s;;RC-005
S/I;19;Equivalent Radius;Cliente;v2;ft;Fijo;>0;< 2 s;;RC-006
20;20;Drainage Radius;Cliente;v2;ft;Fijo;>0;< 2 s;;RC-006
