Match: 51 | spm_promedio
Match: 52 | spm_solicitado_arriba
Match: 53 | spm_solicitado_abajo
Match: 60 | nivel_fluido_flop
Match: 64 | pump_fill_monitor
Match: 66 | potencia_actual_motor
Match: 67 | current_amperage
Match: 95 | tiempo_actual_drive
Match: 120 | estado_motor
Match: 122 | s_road_stroke
Match: 42 | longitud_carrera_nominal_unidad
Match: 54 | presion_cabezal
Match: 55 | presion_casing
Match: 56 | temperatura_cabezal
Match: 61 | pip
Match: 62 | presion_descarga_bomba
Match: 94 | temperatura_tanque_aceite
Match: 57 | porcentaje_agua
Match: 96 | monitor_llenado_gas
Match: 107 | produccion_fluido_diaria
Match: 108 | produccion_petroleo_diaria
Match: 109 | produccion_agua_diaria
Match: 110 | produccion_gas_diaria
Match: 113 | fuga_diaria
Match: 119 | monitor_llenado_liquido
Match: 97 | medidor_produccion_fluido
Match: 98 | produccion_petroleo_acumulada
Match: 99 | medidor_produccion_agua
Match: 100 | medidor_produccion_gas
Match: 72 | rod_weight_buoyant
Match: 74 | monitor_carga_bomba
Match: 75 | maximum_rod_load
Match: 77 | minimum_rod_load
Match: 79 | carga_caja_engranajes
Match: 121 | carrera_bomba_api
Match: 71 | kwh_por_barril
Match: 106 | porcentaje_operacion_diario
Match: 114 | tiempo_parada_poc_diario
Match: 115 | conteo_poc_diario
Match: 117 | eficiencia_levantamiento
Match: 78 | anchor_vertical_depth
Match: 82 | inclinacion_vastago
Match: 88 | inclinacion_cilindro_x
Match: 89 | inclinacion_cilindro_y
Match: 90 | alerta_inclinacion_grados
Match: 91 | falla_inclinacion_grados
Match: 92 | posicion_lineal
Match: 101 | contador_emboladas
Match: 102 | horas_operacion_acumuladas
Match: 103 | tiempo_operacion_medidor_acum
Match: 104 | energia_medidor_acumulada
Match: 105 | emboladas_medidor_acumuladas
Match: 111 | emboladas_diarias
Match: 112 | llenado_promedio_diario
Match: 116 | potencia_medidor_diaria
Match: 123 | emboladas_arranque_poc
Match: 124 | emboladas_espera_poc
Match: 125 | conteo_poc_medidor_acum
Match: 126 | tiempo_parada_poc_medidor_acum
Match: 127 | spm_promedio_diario_medidor
Match: 155 | surface_rod_position
Match: 156 | surface_rod_load
Match: 157 | downhole_pump_position
Match: 158 | downhole_pump_load
Match: 59 | nivel_fluido_dinamico
